PAYS;REGION;SUPERFICIE;POP.84;POP.88;POP.86;DENSITE.84;DENSITE.88;DENSITE.86
POLYNESIE FRANCAISE;OCE;4000 ;160000 ;184000 ;160000 ;40.0;46.0;40.0
PORTO RICO;AMC;8900 ;3450000 ;3376000 ;3500000 ;387.64044943820227;379.3258426966292;393.2584269662921
PORTUGAL;EUO;92100 ;10200000 ;10162000 ;10250000 ;110.74918566775244;110.33659066232356;111.29207383279045
QATAR;ASO;11400 ;300000 ;350000 ;240000 ;26.31578947368421;30.70175438596491;21.05263157894737
REUNION;AFS;2500 ;550000 ;575000 ;560000 ;220.0;230.0;224.0
ROUMANIE;EUE;237500 ;22800000 ;23052000 ;22900000 ;96.0;97.06105263157895;96.42105263157895
ROYAUME-UNI;EUO;244040 ;55700000 ;57019000 ;55700000 ;228.24127192263563;233.64612358629734;228.24127192263563
RWANDA;AFC;26300 ;6100000 ;6657000 ;6300000 ;231.93916349809885;253.11787072243345;239.54372623574145
SAINT-MARIN;EUO;61 ;25000 ;25000 ;25000 ;409.8360655737705;409.8360655737705;409.8360655737705
SAINT-VINCENT;AMC;388 ;100000 ;122000 ;100000 ;257.7319587628866;314.4329896907216;257.7319587628866
SAINTE-HELENE;AFS;121 ;5300 ;6800 ;5300 ;43.80165289256198;56.19834710743802;43.80165289256198
SAINTE-LUCIE;AMC;616 ;130000 ;145000 ;132000 ;211.03896103896105;235.3896103896104;214.28571428571428
SALOMON;OCE;28400 ;280000 ;304000 ;280000 ;9.859154929577464;10.704225352112676;9.859154929577464
SALVADOR;AMC;21041 ;5400000 ;5056000 ;5600000 ;256.6417945915118;240.29276175086736;266.14704624304926
SAMOA;OCE;950 ;33000 ;38000 ;33000 ;34.73684210526316;40.0;34.73684210526316
SAMOA OCCIDENTALES;OCE;2800 ;160000 ;168000 ;165000 ;57.142857142857146;60.0;58.92857142857143
SAO TOME-ET-PRINCIPE;AFC;970 ;100000 ;119000 ;102000 ;103.09278350515464;122.68041237113403;105.15463917525773
SENEGAL;AFO;196200 ;6500000 ;7154000 ;6660000 ;33.12945973496432;36.46279306829766;33.944954128440365
SEYCHELLES;AFC;376 ;65000 ;68000 ;65000 ;172.87234042553192;180.85106382978722;172.87234042553192
SIERRA LEONE;AFO;71700 ;3600000 ;3938000 ;3660000 ;50.2092050209205;54.92329149232915;51.04602510460251
SINGAPOUR;ASM;620 ;2550000 ;2639000 ;2590000 ;4112.903225806452;4256.451612903225;4177.419354838709
