PAYS;REGION;SUPERFICIE;POP.84;POP.88;POP.86
JORDANIE;ASO;97700 ;3500000 ;3937000 ;3500000 
KAMPUCHEA;ASM;181000 ;6800000 ;8000000 ;7280000 
KENYA;AFC;582600 ;20000000 ;23021000 ;20850000 
KIRIBATI;OCE;719 ;60000 ;67000 ;60000 
KOWEIT;ASO;17820 ;1850000 ;1919000 ;1850000 
LAOS;ASM;236800 ;4000000 ;3879000 ;4100000 
LESOTHO;AFS;30400 ;1500000 ;1673000 ;1500000 
LIBAN;ASO;10400 ;2600000 ;2900000 ;2600000 
LIBERIA;AFO;111400 ;2200000 ;2401000 ;2250000 
LIBYE;AFN;1760000 ;3600000 ;4249000 ;3600000 
LIECHTENSTEIN;EUO;160 ;26000 ;28000 ;26000 
LUXEMBOURG;EUO;2590 ;370000 ;371000 ;370000 
MACAO;ASM;16 ;340000 ;443000 ;400000 
MADAGASCAR;AFS;587000 ;9800000 ;11259000 ;10060000 
MALAISIE;ASM;329700 ;15500000 ;16921000 ;16100000 
MALAWI;AFS;118500 ;6900000 ;8155000 ;7500000 
MALDIVES;ASM;298 ;175000 ;203000 ;180000 
MALI;AFN;1240000 ;7900000 ;7989000 ;8200000 
MALTE;EUO;316 ;390000 ;345000 ;380000 
MAN;EUO;588 ;65000 ;64000 ;65000 
MAROC;AFN;712000 ;23500000 ;23920000 ;22400000 
MARTINIQUE;AMC;1100 ;330000 ;330000 ;330000 
MAURICE;AFS;1870 ;980000 ;1048000 ;1000000 
MAURITANIE;AFN;1030000 ;1850000 ;1907000 ;1850000 
MAYOTTE;AFS;375 ;50000 ;74000 ;70000 
MEXIQUE;AMN;1973000 ;79000000 ;83593000 ;81000000 
MONACO;EUO;2 ;28000 ;28000 ;28000 
MONGOLIE;ASM;1565000 ;1850000 ;2086000 ;1900000 
MONTSERRAT;AMC;102 ;12000 ;14000 ;12000 
MOZAMBIQUE;AFS;783000 ;13800000 ;14967000 ;14000000 
NAMIBIE;AFS;824300 ;1560000 ;1262000 ;1600000 
NAURU;OCE;21 ;7500 ;9000 ;7500 
NEPAL;ASM;140800 ;16500000 ;18053000 ;16700000 
NICARAGUA;AMC;130000 ;3200000 ;3623000 ;3300000 
NIGER;AFN;1267000 ;6000000 ;6998000 ;6150000 
NIGERIA;AFO;923800 ;94000000 ;110131000 ;96500000 
NIUE;OCE;2 ;4000 ;2242 ;4000 
